out_degree,cnt
3,1
4,10
7,255
43,44883
64,17432
5,45
25,10000
54,24558
46,36645
33,9561
42,48592
13,3662
41,52080
45,39214
50,29908
47,35097
18,7853
44,42028
58,21276
40,57061
31,9625
63,17697
51,28210
55,23895
49,31008
53,25705
30,9645
27,9925
56,22960
28,9873
23,9752
52,27100
61,19107
57,22081
14,4675
29,9921
48,32902
38,8805
62,18384
59,20474
39,8705
60,19790
36,9229
22,9544
17,7251
35,9390
37,9061
32,9538
26,9827
20,9093
21,9332
19,8437
11,2117
24,9858
16,6347
15,5389
34,9517
10,1382
8,515
12,2809
9,853
6,111
